week_start,week_end,account_id,account_name,region,segment,tickets_opened,p1_p2_tickets,sla_breaches,avg_response_hours,open_escalations
2026-07-27,2026-08-02,acct_001,ABC Manufacturing,North America,Enterprise,18,2,1,3.1,1
2026-07-27,2026-08-02,acct_002,DEF Health,North America,Enterprise,34,5,3,6.8,2
2026-07-27,2026-08-02,acct_006,JKL Energy,North America,Enterprise,11,1,0,2.4,0
2026-07-27,2026-08-02,acct_008,PQR Cloud,North America,Strategic,21,2,1,3.7,1
2026-07-27,2026-08-02,acct_011,VWX Dynamics,North America,Enterprise,29,4,2,5.9,2
2026-07-27,2026-08-02,acct_004,GHI Financial,EMEA,Enterprise,26,3,2,5.2,2
2026-07-27,2026-08-02,acct_007,MNO Media,APAC,Enterprise,17,2,1,4.1,1
2026-07-27,2026-08-02,acct_010,STU Robotics,APAC,Enterprise,13,1,0,2.9,0
2026-08-03,2026-08-09,acct_001,ABC Manufacturing,North America,Enterprise,14,1,0,2.6,0
2026-08-03,2026-08-09,acct_002,DEF Health,North America,Enterprise,22,3,1,4.2,1
2026-08-03,2026-08-09,acct_006,JKL Energy,North America,Enterprise,9,0,0,2.1,0
2026-08-03,2026-08-09,acct_011,VWX Dynamics,North America,Enterprise,31,4,2,5.5,2
2026-08-03,2026-08-09,acct_004,GHI Financial,EMEA,Enterprise,18,2,1,4.4,1
2026-08-03,2026-08-09,acct_007,MNO Media,APAC,Enterprise,11,1,0,3.3,0
2026-08-03,2026-08-09,acct_010,STU Robotics,APAC,Enterprise,12,1,0,2.7,0
